marriage_id,marriage_number,age_at_marriage,age_gap_years,education_level,household_income_usd,financial_stress,both_employed,cohabited_before,premarital_counseling,child_before_marriage,n_children,religious_attendance,criticism,contempt,defensiveness,stonewalling,repair_attempt_success,positive_negative_ratio,conflict_frequency_weekly,shared_activities_weekly,years_married,years_to_divorce,divorced
MAR000031,1,32,3,high_school,87500.0,7.8,1,1,0,1,0,rarely,10.0,3.5,5.6,5.7,8.0,2.1,4.0,1.0,6.0,6.0,1
MAR000032,3,32,2,bachelors,193800.0,1.8,1,1,0,0,1,rarely,2.2,4.1,6.2,6.6,0.7,2.69,1.0,5.0,8.3,8.3,1
MAR000033,2,46,3,high_school,95800.0,4.0,0,1,0,0,1,never,3.0,0.5,3.0,4.7,4.0,2.06,1.0,2.0,4.6,,0
MAR000034,1,24,2,graduate,251800.0,5.0,0,1,1,0,3,never,4.8,0.0,2.5,1.8,8.1,2.16,2.0,7.0,21.8,,0
MAR000035,1,32,1,high_school,105300.0,2.9,0,1,0,1,3,rarely,0.2,1.7,7.4,4.3,3.4,3.67,0.0,3.0,20.8,,0
MAR000036,2,44,1,bachelors,70800.0,2.6,1,0,1,0,3,never,5.2,4.8,4.9,0.0,5.9,4.02,2.0,2.0,17.8,17.8,1
MAR000037,1,37,5,less_than_hs,144200.0,3.8,1,1,0,0,3,never,2.1,2.8,3.5,4.2,7.6,4.02,1.0,2.0,14.8,,0
MAR000038,1,29,1,bachelors,68200.0,3.4,0,0,1,0,4,weekly,2.0,3.3,6.0,6.1,5.2,3.36,2.0,2.0,17.4,,0
MAR000039,1,24,9,bachelors,65400.0,5.6,1,1,0,0,1,never,4.3,4.1,3.3,0.6,4.2,4.75,5.0,6.0,20.8,,0
MAR000040,2,39,1,high_school,54800.0,5.8,1,1,0,1,1,weekly,5.8,3.4,2.0,0.0,10.0,8.61,1.0,0.0,12.4,,0
MAR000041,1,20,4,bachelors,97100.0,5.5,1,1,0,0,0,rarely,5.5,5.6,3.9,4.1,6.0,2.46,2.0,3.0,5.4,5.4,1
MAR000042,1,29,4,bachelors,79100.0,5.5,1,0,0,1,1,never,2.2,4.1,6.6,5.8,4.5,1.31,2.0,2.0,10.7,10.7,1
MAR000043,1,21,7,bachelors,144800.0,6.8,1,1,1,0,1,never,1.1,1.8,7.7,5.0,6.0,3.52,3.0,3.0,2.9,,0
MAR000044,1,31,6,graduate,278200.0,5.3,1,1,0,0,1,weekly,2.0,3.6,0.0,0.8,6.6,4.07,4.0,2.0,10.2,,0
MAR000045,1,30,4,less_than_hs,63500.0,7.3,1,0,0,0,0,rarely,4.5,6.7,6.4,6.2,3.1,4.62,4.0,4.0,6.9,,0
MAR000046,2,51,4,graduate,81100.0,4.5,1,1,0,0,1,weekly,6.3,7.1,5.3,2.2,2.1,1.47,3.0,1.0,1.1,1.1,1
MAR000047,2,36,4,high_school,135000.0,5.4,1,1,0,1,1,weekly,7.5,3.7,8.5,5.8,0.7,2.35,2.0,1.0,6.8,6.8,1
MAR000048,1,26,3,less_than_hs,26900.0,9.0,1,1,0,0,2,never,7.0,9.6,8.8,7.9,3.8,1.61,2.0,2.0,13.2,13.2,1
MAR000049,1,23,2,some_college,172200.0,6.1,1,0,0,0,2,weekly,6.2,1.9,8.2,2.0,4.1,2.88,2.0,3.0,4.3,4.3,1
MAR000050,1,28,0,high_school,62200.0,7.9,1,1,0,0,1,monthly,5.5,5.7,5.2,1.3,4.1,4.08,2.0,1.0,2.2,2.2,1
MAR000051,1,34,6,high_school,107300.0,7.3,1,0,0,1,2,rarely,4.4,7.5,8.7,3.4,4.7,1.74,4.0,5.0,2.5,2.5,1
MAR000052,1,40,1,high_school,222900.0,2.0,0,1,1,0,2,weekly,5.8,3.1,3.2,4.0,6.5,2.43,2.0,4.0,1.1,,0
MAR000053,1,22,5,high_school,69900.0,8.6,0,0,0,0,2,weekly,8.4,5.8,3.4,1.3,1.4,4.19,5.0,3.0,4.0,4.0,1
MAR000054,1,28,1,less_than_hs,52500.0,8.7,1,1,0,0,1,never,8.4,2.8,2.3,2.6,2.2,4.87,5.0,4.0,3.2,3.2,1
MAR000055,1,31,4,less_than_hs,55000.0,7.1,1,1,0,0,1,rarely,0.8,5.7,5.9,4.8,8.8,2.97,2.0,0.0,6.8,6.8,1
MAR000056,1,20,0,less_than_hs,63900.0,9.6,0,1,0,1,2,never,6.4,2.8,2.5,5.4,3.1,2.28,4.0,3.0,6.4,6.4,1
MAR000057,1,18,4,graduate,84000.0,5.9,1,0,1,1,2,weekly,5.2,5.7,4.1,1.0,5.9,7.56,0.0,2.0,17.7,,0
MAR000058,2,37,1,graduate,74800.0,2.7,1,1,0,0,0,monthly,3.1,8.7,4.0,4.3,5.9,2.28,3.0,2.0,4.6,4.6,1
MAR000059,1,21,3,some_college,124000.0,1.8,1,1,0,0,0,weekly,6.0,2.5,6.1,2.6,5.7,1.83,1.0,0.0,3.7,,0
MAR000060,2,43,0,bachelors,86100.0,9.8,0,0,1,0,1,never,4.0,6.7,3.9,5.3,6.9,2.41,1.0,2.0,4.9,4.9,1
MAR000061,1,39,2,bachelors,153900.0,4.4,0,0,0,1,1,monthly,3.1,0.8,5.0,4.2,6.7,1.88,5.0,3.0,13.3,,0
MAR000062,2,47,4,less_than_hs,71500.0,7.8,0,1,0,0,0,rarely,5.1,3.2,4.5,5.7,5.2,1.79,2.0,1.0,2.6,2.6,1
MAR000063,1,27,2,some_college,43600.0,5.5,1,1,0,0,1,rarely,3.8,5.2,2.6,2.4,10.0,1.62,1.0,0.0,7.5,,0
MAR000064,1,27,3,high_school,137700.0,7.2,0,0,0,0,1,monthly,0.0,0.0,1.0,1.6,10.0,4.75,2.0,5.0,8.7,,0
MAR000065,2,42,2,graduate,159500.0,3.7,1,1,0,1,2,rarely,0.0,3.6,5.1,2.4,7.8,5.89,1.0,7.0,10.7,,0
MAR000066,1,33,4,less_than_hs,65100.0,5.9,1,1,0,0,2,weekly,4.1,4.7,7.0,4.3,4.7,2.12,4.0,2.0,14.1,,0
MAR000067,1,30,4,some_college,84300.0,6.1,1,1,0,1,2,rarely,5.6,6.6,4.6,3.0,6.6,1.87,2.0,2.0,10.5,10.5,1
MAR000068,2,36,0,graduate,309900.0,8.1,0,1,0,0,2,weekly,3.3,6.4,8.9,3.4,2.7,1.6,4.0,2.0,3.0,3.0,1
MAR000069,1,30,3,high_school,52800.0,2.2,1,0,0,0,1,rarely,4.2,1.7,5.4,3.5,9.4,1.64,0.0,3.0,6.1,6.1,1
MAR000070,1,19,0,bachelors,142000.0,1.4,1,0,1,0,4,monthly,7.7,1.7,2.7,5.7,2.8,3.18,4.0,1.0,2.6,2.6,1
MAR000071,1,38,3,bachelors,173900.0,5.9,0,1,0,0,1,never,2.5,3.0,5.8,1.2,5.3,1.74,0.0,1.0,18.8,,0
MAR000072,2,22,5,high_school,34200.0,6.7,1,1,0,0,0,weekly,3.8,3.1,3.5,0.0,2.3,1.94,2.0,1.0,6.1,6.1,1
MAR000073,1,27,6,high_school,63300.0,6.8,1,1,1,0,1,rarely,4.7,2.0,6.1,3.1,1.4,0.86,2.0,1.0,11.1,11.1,1
MAR000074,2,44,2,high_school,42700.0,3.5,1,0,0,0,1,weekly,5.9,10.0,7.7,5.9,2.7,1.48,2.0,3.0,12.5,12.5,1
MAR000075,1,18,1,high_school,23800.0,6.2,1,1,0,0,2,never,3.7,7.5,6.9,6.1,5.0,2.73,4.0,2.0,14.7,14.7,1
MAR000076,2,45,5,high_school,53900.0,1.7,1,0,1,0,2,rarely,2.9,0.0,0.0,2.5,10.0,5.18,2.0,5.0,6.4,,0
MAR000077,1,25,1,high_school,174600.0,8.5,0,1,0,0,1,never,3.9,2.3,5.4,4.2,7.8,2.1,3.0,3.0,11.2,11.2,1
MAR000078,1,34,7,graduate,195200.0,2.2,1,1,0,0,1,monthly,3.8,2.1,1.4,2.3,2.5,2.07,2.0,3.0,4.4,4.4,1
MAR000079,1,26,2,graduate,272900.0,5.6,1,1,1,1,2,rarely,4.5,3.6,4.4,5.7,1.4,3.63,4.0,1.0,3.2,3.2,1
MAR000080,2,39,4,bachelors,108300.0,9.0,1,1,0,0,2,rarely,5.8,3.9,5.3,7.1,3.8,4.04,0.0,5.0,4.7,,0
MAR000081,1,21,2,some_college,94600.0,8.4,1,0,0,0,0,rarely,9.2,5.4,5.8,4.8,4.9,3.23,2.0,3.0,2.0,2.0,1
MAR000082,1,16,5,bachelors,156000.0,5.6,1,1,0,0,1,never,6.0,3.9,4.5,4.7,3.5,2.53,2.0,3.0,4.6,4.6,1
MAR000083,2,42,5,bachelors,318400.0,3.0,0,1,1,0,1,never,4.7,3.5,8.5,0.0,6.8,3.54,0.0,3.0,14.3,,0
MAR000084,1,27,3,bachelors,103800.0,4.1,1,0,1,1,1,rarely,5.0,3.8,8.5,6.1,5.8,1.44,1.0,3.0,11.3,,0
MAR000085,2,35,3,bachelors,183300.0,6.5,1,0,0,0,0,never,2.4,3.2,3.8,3.5,4.5,2.02,4.0,5.0,13.0,13.0,1
MAR000086,2,35,3,less_than_hs,46500.0,7.7,1,1,1,1,1,monthly,4.0,3.9,3.9,4.1,4.6,8.06,2.0,4.0,13.0,13.0,1
MAR000087,1,33,3,some_college,165900.0,1.7,1,1,0,0,2,never,4.7,7.3,5.6,0.7,5.4,7.61,1.0,6.0,23.6,,0
MAR000088,1,25,0,high_school,71700.0,5.5,1,1,0,0,1,never,4.9,4.4,6.0,7.2,3.6,3.18,2.0,5.0,3.0,3.0,1
MAR000089,1,31,2,some_college,52100.0,5.5,0,1,0,0,2,never,6.6,3.6,4.5,6.2,6.4,3.23,3.0,3.0,10.8,10.8,1
MAR000090,2,40,0,high_school,50500.0,4.6,1,1,1,0,0,weekly,5.7,2.2,5.0,2.8,7.0,2.65,2.0,5.0,10.6,,0
MAR000091,1,38,5,bachelors,179600.0,2.0,1,0,0,1,0,never,2.4,5.6,6.5,4.8,8.4,2.6,3.0,1.0,11.3,,0
MAR000092,1,32,10,bachelors,134000.0,6.6,0,0,0,0,1,never,4.5,1.8,4.9,3.5,9.1,4.15,3.0,2.0,13.4,,0
MAR000093,2,40,2,some_college,74400.0,8.2,0,0,0,0,1,weekly,8.8,2.4,9.1,7.5,2.6,1.57,1.0,1.0,19.7,19.7,1
MAR000094,1,33,1,less_than_hs,98600.0,0.0,1,1,0,0,1,rarely,2.8,0.9,1.9,1.9,6.8,4.12,1.0,6.0,6.5,,0
MAR000095,1,38,0,high_school,50100.0,5.1,0,1,1,0,3,monthly,4.9,2.6,5.1,4.3,3.8,3.28,2.0,6.0,9.0,,0
MAR000096,2,25,9,less_than_hs,58400.0,9.0,1,1,0,0,1,never,2.9,2.6,3.4,0.0,5.8,5.29,1.0,3.0,7.0,7.0,1
MAR000097,1,26,0,some_college,41500.0,4.3,1,0,0,0,2,weekly,8.1,0.5,10.0,2.2,5.1,1.67,1.0,4.0,10.1,10.1,1
MAR000098,1,27,4,some_college,126200.0,7.2,1,1,0,0,1,weekly,6.2,5.8,6.5,1.4,4.6,3.48,3.0,0.0,0.9,0.9,1
MAR000099,2,34,4,graduate,86500.0,4.4,1,1,0,1,4,monthly,3.2,6.9,3.2,2.2,4.5,4.47,3.0,5.0,21.9,,0
MAR000100,2,38,1,graduate,88900.0,4.3,1,1,0,0,2,never,5.1,2.6,5.6,1.7,7.2,3.95,1.0,2.0,20.7,,0
MAR000101,2,42,3,bachelors,108500.0,10.0,1,1,0,0,3,monthly,1.2,0.0,0.0,4.7,9.2,10.8,0.0,6.0,12.7,,0
MAR000102,1,20,0,some_college,27600.0,6.4,1,0,0,0,2,monthly,4.7,5.3,6.4,2.8,5.7,2.3,2.0,2.0,30.4,30.4,1
MAR000103,1,26,0,bachelors,224000.0,1.5,1,0,0,0,0,never,3.6,2.4,2.2,1.1,5.5,3.99,5.0,4.0,30.3,,0
MAR000104,1,34,0,bachelors,223700.0,4.8,0,0,0,0,3,never,8.9,6.5,4.5,5.0,10.0,1.13,1.0,3.0,2.3,,0
MAR000105,1,33,2,high_school,226100.0,1.9,0,0,0,0,1,weekly,3.5,0.6,4.5,0.0,6.7,3.01,2.0,6.0,13.7,13.7,1
MAR000106,1,29,0,bachelors,74500.0,5.5,1,1,0,0,2,monthly,4.4,9.6,6.0,7.7,8.3,1.89,1.0,2.0,8.1,8.1,1
MAR000107,1,29,1,graduate,113700.0,7.5,0,1,1,1,1,rarely,4.0,8.0,5.9,5.7,6.2,1.73,2.0,0.0,28.8,,0
MAR000108,1,33,2,some_college,63800.0,7.9,1,0,1,1,1,weekly,4.6,3.7,1.5,4.4,9.7,5.23,4.0,2.0,8.0,,0
MAR000109,1,33,6,some_college,134700.0,4.6,0,1,1,1,2,never,8.0,0.0,7.3,2.3,5.1,1.59,0.0,3.0,32.6,,0
MAR000110,1,29,7,some_college,78700.0,3.8,1,1,0,0,0,never,4.5,0.0,3.0,3.7,9.7,7.53,2.0,3.0,1.2,,0
MAR000111,1,28,1,bachelors,52500.0,8.5,1,1,0,0,2,rarely,0.0,0.0,3.4,0.7,4.5,3.32,6.0,3.0,7.7,7.7,1
MAR000112,1,28,5,high_school,92500.0,3.8,1,0,0,1,0,rarely,1.8,4.4,6.2,7.1,6.3,2.56,2.0,5.0,23.1,,0
MAR000113,2,26,1,some_college,277000.0,5.5,0,0,0,0,0,monthly,6.4,5.5,6.2,6.7,1.6,2.16,4.0,0.0,13.2,13.2,1
MAR000114,1,23,3,less_than_hs,74900.0,4.3,0,1,0,0,4,never,7.9,1.8,8.9,0.0,3.8,2.0,3.0,3.0,4.7,4.7,1
MAR000115,2,44,3,less_than_hs,67900.0,5.4,1,1,0,0,0,never,4.0,6.1,6.7,3.5,2.8,2.08,2.0,3.0,2.4,2.4,1
MAR000116,2,37,3,bachelors,102500.0,6.4,1,1,1,1,1,monthly,5.4,4.1,8.6,2.8,6.8,1.11,4.0,10.0,4.8,4.8,1
MAR000117,1,22,6,bachelors,38200.0,9.4,1,0,1,0,1,never,3.4,3.9,0.5,6.0,5.8,2.27,3.0,3.0,8.8,8.8,1
MAR000118,1,28,3,bachelors,145300.0,3.5,1,0,0,0,0,weekly,1.5,1.4,3.6,1.5,6.8,10.27,2.0,4.0,31.1,,0
MAR000119,1,31,2,high_school,103700.0,1.3,1,1,1,0,1,rarely,6.4,6.5,6.6,2.2,2.3,2.62,1.0,7.0,4.7,4.7,1
MAR000120,1,18,7,some_college,57300.0,8.6,1,1,0,0,1,never,4.2,2.4,4.5,1.9,5.7,1.49,4.0,0.0,48.0,,0
MAR000121,2,36,0,some_college,75700.0,3.7,0,1,0,0,3,rarely,8.2,3.0,6.3,3.8,6.0,1.95,8.0,6.0,10.0,10.0,1
MAR000122,1,31,0,less_than_hs,144500.0,4.2,1,1,1,0,0,never,3.8,0.4,5.5,2.8,5.4,6.22,0.0,7.0,6.9,,0
MAR000123,1,21,3,bachelors,173900.0,3.0,0,1,0,0,2,never,4.1,2.7,5.1,4.3,4.0,4.56,3.0,8.0,19.4,,0
MAR000124,1,31,7,graduate,44000.0,7.9,1,1,0,0,2,rarely,4.0,2.1,5.8,1.3,5.4,5.91,3.0,4.0,7.0,,0
MAR000125,1,26,10,some_college,93000.0,8.0,0,1,0,0,0,weekly,3.3,2.0,5.2,2.3,10.0,2.58,2.0,5.0,10.4,10.4,1
MAR000126,2,45,5,graduate,228400.0,2.5,0,0,0,0,1,weekly,3.7,2.0,4.1,5.4,8.2,5.58,1.0,6.0,5.8,,0
MAR000127,2,29,2,some_college,110100.0,2.7,1,0,1,1,1,weekly,5.8,1.3,6.9,3.4,5.5,2.81,2.0,2.0,5.3,5.3,1
MAR000128,1,33,0,bachelors,88600.0,3.6,0,1,0,0,1,rarely,3.8,2.5,5.3,2.9,5.6,3.58,1.0,2.0,6.0,,0
MAR000129,2,38,1,bachelors,87200.0,8.4,1,1,0,0,2,rarely,7.0,10.0,8.2,5.5,1.1,0.8,3.0,2.0,3.2,3.2,1
MAR000130,1,26,0,bachelors,93800.0,5.6,1,1,1,1,0,never,4.6,8.8,5.9,3.7,3.6,5.82,1.0,5.0,8.3,8.3,1
MAR000131,3,35,5,high_school,79400.0,7.2,0,1,0,0,0,never,1.6,1.3,2.9,8.6,7.7,3.92,2.0,2.0,2.8,2.8,1
MAR000132,1,32,1,high_school,119300.0,6.5,0,1,1,0,1,weekly,4.6,0.8,5.3,5.5,10.0,10.09,1.0,5.0,3.3,3.3,1
MAR000133,1,40,1,graduate,131100.0,3.3,0,1,0,0,2,rarely,3.8,2.9,1.6,2.3,6.9,2.45,3.0,3.0,13.8,,0
MAR000134,1,23,7,bachelors,123800.0,5.3,1,1,0,0,2,never,3.5,3.8,1.7,0.0,9.1,5.23,1.0,3.0,5.0,5.0,1
MAR000135,1,26,1,some_college,153600.0,5.7,0,1,1,0,0,weekly,7.0,4.5,7.8,3.7,0.7,1.04,4.0,1.0,11.3,11.3,1
MAR000136,1,19,2,some_college,116300.0,0.0,1,1,0,1,1,rarely,5.9,0.0,5.9,4.1,9.1,9.17,5.0,6.0,22.9,,0
MAR000137,1,31,2,some_college,147600.0,6.2,1,1,0,0,1,rarely,5.6,7.8,2.1,1.5,9.7,3.28,3.0,3.0,6.2,,0
MAR000138,1,31,0,high_school,116000.0,3.3,1,0,0,0,1,rarely,6.1,4.7,7.0,4.8,7.1,1.27,4.0,2.0,5.5,,0
MAR000139,1,17,1,less_than_hs,75300.0,5.7,1,1,0,0,0,monthly,5.5,3.7,2.3,3.5,6.6,1.84,1.0,3.0,1.4,1.4,1
MAR000140,1,34,0,some_college,201700.0,5.3,1,0,1,0,3,rarely,7.7,2.8,5.0,4.7,6.2,2.24,3.0,2.0,13.4,,0
MAR000141,2,48,3,high_school,31700.0,6.7,0,1,0,0,6,rarely,4.0,3.1,5.9,2.9,2.8,1.5,0.0,1.0,12.0,,0
MAR000142,1,32,4,graduate,61800.0,5.6,1,1,0,0,1,never,2.7,6.0,7.5,3.7,6.1,3.2,5.0,0.0,11.8,11.8,1
MAR000143,1,33,1,high_school,88500.0,6.5,0,1,0,0,2,monthly,6.3,4.3,6.7,7.3,4.4,3.02,3.0,3.0,0.9,,0
MAR000144,1,21,1,bachelors,130400.0,6.2,0,1,0,0,1,rarely,7.3,5.3,4.0,2.8,0.0,1.78,1.0,1.0,12.9,,0
MAR000145,1,22,5,high_school,118000.0,1.2,0,0,0,1,0,rarely,5.0,1.5,2.4,0.0,8.3,3.93,0.0,2.0,4.4,4.4,1
MAR000146,2,50,0,bachelors,114300.0,3.6,1,1,0,1,2,never,3.9,1.4,4.6,1.8,5.9,4.97,1.0,5.0,18.6,,0
MAR000147,2,34,3,graduate,296200.0,3.6,1,1,0,0,2,weekly,4.2,2.8,7.0,5.5,5.9,3.19,2.0,1.0,21.0,,0
MAR000148,3,51,0,less_than_hs,53300.0,8.6,1,1,0,0,3,weekly,6.4,2.8,1.8,1.7,4.0,9.09,0.0,6.0,5.5,5.5,1
MAR000149,1,29,0,some_college,45400.0,5.8,0,0,0,0,2,weekly,3.4,4.5,5.9,3.1,8.1,2.22,0.0,6.0,4.0,,0
MAR000150,3,29,0,some_college,34600.0,6.1,1,1,0,0,2,monthly,2.8,2.8,5.4,5.0,9.7,20.0,1.0,3.0,3.0,3.0,1
MAR000151,1,32,7,bachelors,52300.0,6.6,1,1,0,0,0,weekly,6.8,0.7,7.3,8.6,3.4,1.59,1.0,4.0,8.0,8.0,1
MAR000152,1,21,1,bachelors,189400.0,3.6,1,0,0,0,1,never,3.1,3.3,5.2,0.0,6.2,10.7,1.0,5.0,6.5,,0
MAR000153,1,23,6,some_college,40800.0,3.8,1,0,0,1,2,never,4.4,3.6,5.1,4.6,6.7,3.51,5.0,2.0,16.3,16.3,1
MAR000154,1,29,8,high_school,85900.0,6.5,1,1,0,1,0,weekly,4.5,4.2,1.7,6.4,3.3,2.94,0.0,1.0,4.5,4.5,1
MAR000155,2,27,1,graduate,94900.0,7.1,1,1,0,0,2,never,1.3,0.0,0.2,0.0,5.0,3.82,1.0,6.0,11.8,11.8,1
MAR000156,1,33,5,bachelors,157800.0,5.9,1,0,0,0,2,never,4.1,6.3,3.8,7.5,4.0,2.89,3.0,3.0,17.3,17.3,1
MAR000157,2,22,1,some_college,108100.0,4.9,0,0,0,0,2,rarely,4.6,3.3,5.2,3.9,7.5,3.77,2.0,3.0,6.6,6.6,1
MAR000158,1,33,4,high_school,38700.0,9.2,1,1,1,0,0,rarely,8.2,3.2,8.4,3.8,5.6,3.24,6.0,2.0,9.9,9.9,1
MAR000159,3,41,2,some_college,78300.0,3.4,1,1,0,0,2,rarely,6.5,3.5,6.0,2.6,3.2,0.89,1.0,1.0,3.7,3.7,1
MAR000160,1,18,5,graduate,170100.0,1.4,1,0,0,0,1,never,3.2,0.0,5.8,0.2,6.0,3.42,2.0,5.0,19.4,,0
MAR000161,1,26,4,high_school,255300.0,1.2,1,1,1,0,0,never,5.8,1.2,0.9,1.3,6.5,5.64,3.0,6.0,28.3,,0
MAR000162,2,42,7,graduate,336200.0,8.8,1,1,1,1,2,never,5.8,0.0,3.4,4.7,7.9,2.58,0.0,2.0,5.3,,0
MAR000163,1,30,2,graduate,187200.0,5.5,1,1,1,0,1,rarely,5.4,3.1,5.4,4.7,9.7,0.97,4.0,1.0,6.7,,0
MAR000164,1,21,3,bachelors,156200.0,2.7,1,1,0,0,1,rarely,7.4,3.0,4.5,5.6,3.9,3.46,2.0,4.0,5.3,5.3,1
MAR000165,1,34,4,bachelors,56600.0,2.7,1,1,0,0,2,weekly,7.1,6.3,6.2,1.8,2.5,3.16,1.0,2.0,6.3,,0
MAR000166,1,25,4,bachelors,119700.0,2.1,1,0,0,0,1,rarely,8.6,1.1,5.0,2.7,4.6,1.73,3.0,0.0,6.4,6.4,1
MAR000167,1,33,3,less_than_hs,67600.0,6.7,1,0,0,1,2,never,6.5,1.2,8.6,4.8,2.1,2.5,4.0,0.0,5.8,5.8,1
MAR000168,1,23,2,some_college,66900.0,6.8,1,0,0,0,2,weekly,4.8,3.2,4.6,4.8,2.5,1.79,1.0,2.0,3.0,3.0,1
MAR000169,1,27,0,high_school,30600.0,6.1,1,1,1,0,1,weekly,4.5,5.2,6.3,4.1,7.8,4.38,6.0,5.0,9.0,9.0,1
MAR000170,1,27,1,high_school,49300.0,5.5,1,1,0,1,2,monthly,2.0,5.4,7.5,4.3,4.6,3.43,5.0,8.0,14.7,14.7,1
MAR000171,1,23,8,some_college,68500.0,6.8,0,1,0,0,0,rarely,5.2,2.1,4.2,5.6,1.0,1.25,1.0,0.0,3.3,3.3,1
